Week ,Day,Arrival,,,,,
1,Weekday,08:01:26,00:01:26,,,,
1,Weekday,08:06:59,00:06:59,,,,
1,Weekday,08:11:07,00:11:07,,,,
1,Weekday,08:13:08,00:13:08,,,,
1,Weekday,08:13:56,00:13:56,,,,
1,Weekday,08:14:18,00:14:18,,,,
1,Weekday,08:23:22,00:23:22,,,,
1,Weekday,08:26:15,00:26:15,,,,
1,Weekday,08:28:31,00:28:31,,,,
1,Weekday,08:29:51,00:29:51,,,,
1,Weekday,08:31:28,00:31:28,,,,
1,Weekday,08:33:09,00:33:09,,,,
1,Weekday,08:35:53,00:35:53,,,,
1,Weekday,08:36:07,00:36:07,,,,
1,Weekday,08:37:23,00:37:23,,,,
1,Weekday,08:38:34,00:38:34,,,,
1,Weekday,08:39:09,00:39:09,,,,
1,Weekday,08:40:25,00:40:25,,,,
1,Weekday,08:41:01,00:41:01,,,,
1,Weekday,08:41:57,00:41:57,,,,
1,Weekday,08:43:13,00:43:13,,,,
1,Weekday,08:45:06,00:45:06,,,,
1,Weekday,08:45:42,00:45:42,,,,
1,Weekday,08:48:49,00:48:49,,,,
1,Weekday,08:58:15,00:58:15,,,,
1,Weekday,08:58:34,00:58:34,,,,
1,Weekday,08:59:49,00:59:49,,,,
1,Weekday,09:00:09,01:00:09,,,,
1,Weekday,09:00:29,01:00:29,,,,
1,Weekday,09:01:17,01:01:17,,,,
1,Weekday,09:02:09,01:02:09,,,,
1,Weekday,09:04:26,01:04:26,,,,
1,Weekday,09:05:44,01:05:44,,,,
1,Weekday,09:09:21,01:09:21,,,,
1,Weekday,09:10:07,01:10:07,,,,
1,Weekday,09:11:22,01:11:22,,,,
1,Weekday,09:12:00,01:12:00,,,,
1,Weekday,09:12:53,01:12:53,,,,
1,Weekday,09:15:23,01:15:23,,,,
1,Weekday,09:20:44,01:20:44,,,,
1,Weekday,09:21:11,01:21:11,,,,
1,Weekday,09:22:12,01:22:12,,,,
1,Weekday,09:22:35,01:22:35,,,,
1,Weekday,09:22:56,01:22:56,,,,
1,Weekday,09:23:15,01:23:15,,,,
1,Weekday,09:23:59,01:23:59,,,,
1,Weekday,09:24:13,01:24:13,,,,
1,Weekday,09:24:41,01:24:41,,,,
1,Weekday,09:25:55,01:25:55,,,,
1,Weekday,09:27:33,01:27:33,,,,
1,Weekday,09:30:00,01:30:00,,,,
1,Weekday,09:30:40,01:30:40,,,,
1,Weekday,09:32:54,01:32:54,,,,
1,Weekday,09:33:28,01:33:28,,,,
1,Weekday,09:35:00,01:35:00,,,,
1,Weekday,09:35:35,01:35:35,,,,
1,Weekday,09:36:54,01:36:54,,,,
1,Weekday,09:37:03,01:37:03,,,,
1,Weekday,09:39:04,01:39:04,,,,
1,Weekday,09:41:29,01:41:29,,,,
1,Weekday,09:42:41,01:42:41,,,,
1,Weekday,09:48:42,01:48:42,,,,
1,Weekday,09:49:16,01:49:16,,,,
1,Weekday,09:51:50,01:51:50,,,,
1,Weekday,09:52:16,01:52:16,,,,
1,Weekday,09:56:22,01:56:22,,,,
1,Weekday,09:57:04,01:57:04,,,,
1,Weekday,09:58:02,01:58:02,,,,
1,Weekday,09:59:38,01:59:38,,,,
1,Weekday,09:59:44,01:59:44,,,,
1,Weekday,09:59:51,01:59:51,,,,
1,Weekday,10:03:21,02:03:21,,,,
1,Weekday,10:04:06,02:04:06,,,,
1,Weekday,10:04:20,02:04:20,,,,
1,Weekday,10:06:29,02:06:29,,,,
1,Weekday,10:07:53,02:07:53,,,,
1,Weekday,10:07:56,02:07:56,,,,
1,Weekday,10:08:12,02:08:12,,,,
1,Weekday,10:08:45,02:08:45,,,,
1,Weekday,10:08:53,02:08:53,,,,
1,Weekday,10:09:45,02:09:45,,,,
1,Weekday,10:13:45,02:13:45,,,,
1,Weekday,10:13:47,02:13:47,,,,
1,Weekday,10:14:48,02:14:48,,,,
1,Weekday,10:15:11,02:15:11,,,,
1,Weekday,10:15:34,02:15:34,,,,
1,Weekday,10:16:08,02:16:08,,,,
1,Weekday,10:17:10,02:17:10,,,,
1,Weekday,10:20:28,02:20:28,,,,
1,Weekday,10:20:28,02:20:28,,,,
1,Weekday,10:20:30,02:20:30,,,,
1,Weekday,10:22:05,02:22:05,,,,
1,Weekday,10:23:00,02:23:00,,,,
1,Weekday,10:23:08,02:23:08,,,,
1,Weekday,10:24:52,02:24:52,,,,
1,Weekday,10:24:58,02:24:58,,,,
1,Weekday,10:25:01,02:25:01,,,,
1,Weekday,10:26:04,02:26:04,,,,
1,Weekday,10:28:26,02:28:26,,,,
1,Weekday,10:28:54,02:28:54,,,,
1,Weekday,10:28:56,02:28:56,,,,
1,Weekday,10:29:02,02:29:02,,,,
1,Weekday,10:30:33,02:30:33,,,,
1,Weekday,10:30:34,02:30:34,,,,
1,Weekday,10:30:39,02:30:39,,,,
1,Weekday,10:31:03,02:31:03,,,,
1,Weekday,10:31:04,02:31:04,,,,
1,Weekday,10:31:41,02:31:41,,,,
1,Weekday,10:31:51,02:31:51,,,,
1,Weekday,10:32:27,02:32:27,,,,
1,Weekday,10:32:28,02:32:28,,,,
1,Weekday,10:32:36,02:32:36,,,,
1,Weekday,10:33:26,02:33:26,,,,
1,Weekday,10:33:46,02:33:46,,,,
1,Weekday,10:35:53,02:35:53,,,,
1,Weekday,10:36:46,02:36:46,,,,
1,Weekday,10:37:27,02:37:27,,,,
1,Weekday,10:38:16,02:38:16,,,,
1,Weekday,10:40:38,02:40:38,,,,
1,Weekday,10:41:06,02:41:06,,,,
1,Weekday,10:42:28,02:42:28,,,,
1,Weekday,10:43:45,02:43:45,,,,
1,Weekday,10:44:28,02:44:28,,,,
1,Weekday,10:45:45,02:45:45,,,,
1,Weekday,10:47:22,02:47:22,,,,
1,Weekday,10:50:29,02:50:29,,,,
1,Weekday,10:51:07,02:51:07,,,,
1,Weekday,10:51:40,02:51:40,,,,
1,Weekday,10:51:44,02:51:44,,,,
1,Weekday,10:54:34,02:54:34,,,,
1,Weekday,10:55:16,02:55:16,,,,
1,Weekday,10:55:46,02:55:46,,,,
1,Weekday,10:56:17,02:56:17,,,,
1,Weekday,10:56:24,02:56:24,,,,
1,Weekday,10:56:47,02:56:47,,,,
1,Weekday,11:01:30,03:01:30,,,,
1,Weekday,11:01:40,03:01:40,,,,
1,Weekday,11:02:10,03:02:10,,,,
1,Weekday,11:04:34,03:04:34,,,,
1,Weekday,11:05:30,03:05:30,,,,
1,Weekday,11:06:31,03:06:31,,,,
1,Weekday,11:07:30,03:07:30,,,,
1,Weekday,11:09:38,03:09:38,,,,
1,Weekday,11:11:03,03:11:03,,,,
1,Weekday,11:11:12,03:11:12,,,,
1,Weekday,11:11:17,03:11:17,,,,
1,Weekday,11:11:27,03:11:27,,,,
1,Weekday,11:12:10,03:12:10,,,,
1,Weekday,11:12:16,03:12:16,,,,
1,Weekday,11:12:59,03:12:59,,,,
1,Weekday,11:13:35,03:13:35,,,,
